# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# SCF_C_WL =    Steel Cold Formed C-profile with lips
# SHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SHR_RS=        Steel Hot Rolled Round Section
# SHR_RCT=      Steel Hot Rolled Rectangular 
# SHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Steel Hot Rolled Round Section

# Category,Name,SHR_RS,Diameter
R,R5,SHR_RS,5
R,R8,SHR_RS,8
R,R10,SHR_RS,10
R,R12,SHR_RS,12
R,R14,SHR_RS,14
R,R15,SHR_RS,151
R,R16,SHR_RS,16
R,R18,SHR_RS,18
R,R19,SHR_RS,19
R,R20,SHR_RS,20
R,R22,SHR_RS,22
R,R24,SHR_RS,24
R,R25,SHR_RS,25
R,R27,SHR_RS,27
CHS,CHS114.3x4,SHR_CHS,114.3,4
CHS,CHS114.3x4.5,SHR_CHS,114.3,4.5
CHS,CHS114.3x5,SHR_CHS,114.3,5
CHS,CHS114.3x5.6,SHR_CHS,114.3,5.6
CHS,CHS114.3x6.3,SHR_CHS,114.3,6.3
CHS,CHS114.3x7.1,SHR_CHS,114.3,7.1
CHS,CHS114.3x8,SHR_CHS,114.3,8
CHS,CHS114.3x8.8,SHR_CHS,114.3,8.8
CHS,CHS114.3x10,SHR_CHS,114.3,10
CHS,CHS114.3x12.5,SHR_CHS,114.3,12.5
CHS,CHS114.3x14.2,SHR_CHS,114.3,14.2
CHS,CHS114.3x16,SHR_CHS,114.3,16
CHS,CHS121x4,SHR_CHS,121,4
CHS,CHS121x5,SHR_CHS,121,5
CHS,CHS121x5.6,SHR_CHS,121,5.6
CHS,CHS121x6.3,SHR_CHS,121,6.3
CHS,CHS121x7.1,SHR_CHS,121,7.1
CHS,CHS121x8,SHR_CHS,121,8
CHS,CHS121x8.8,SHR_CHS,121,8.8
CHS,CHS121x10,SHR_CHS,121,10
CHS,CHS121x12.5,SHR_CHS,121,12.5
CHS,CHS121x14.2,SHR_CHS,121,14.2
CHS,CHS121x16,SHR_CHS,121,16
CHS,CHS127x4.0,SHR_CHS,127,4
CHS,CHS133x4,SHR_CHS,133,4
CHS,CHS133x4.5,SHR_CHS,133,4.5
CHS,CHS133x5,SHR_CHS,133,5
CHS,CHS133x5.6,SHR_CHS,133,5.6
CHS,CHS133x6.3,SHR_CHS,133,6.3
CHS,CHS133x7.1,SHR_CHS,133,7.1
CHS,CHS133x8,SHR_CHS,133,8
CHS,CHS133x8.8,SHR_CHS,133,8.8
CHS,CHS133x10,SHR_CHS,133,10
CHS,CHS133x12.5,SHR_CHS,133,12.5
CHS,CHS133x14.2,SHR_CHS,133,14.2
CHS,CHS133x16,SHR_CHS,133,16
CHS,CHS133x17.5,SHR_CHS,133,17.5
CHS,CHS139.7x4,SHR_CHS,139.7,4
CHS,CHS139.7x4.5,SHR_CHS,139.7,4.5
CHS,CHS139.7x5,SHR_CHS,139.7,5
CHS,CHS139.7x5.6,SHR_CHS,139.7,5.6
CHS,CHS139.7x6.3,SHR_CHS,139.7,6.3
CHS,CHS139.7x7.1,SHR_CHS,139.7,7.1
CHS,CHS139.7x8,SHR_CHS,139.7,8
CHS,CHS139.7x8.8,SHR_CHS,139.7,8.8
CHS,CHS139.7x10,SHR_CHS,139.7,10
CHS,CHS139.7x12.5,SHR_CHS,139.7,12.5
CHS,CHS139.7x14.2,SHR_CHS,139.7,14.2
CHS,CHS139.7x16,SHR_CHS,139.7,16
CHS,CHS139.7x17.5,SHR_CHS,139.7,17.5
CHS,CHS152.4x4.5,SHR_CHS,152.4,4.5
CHS,CHS159x4.5,SHR_CHS,159,4.5
CHS,CHS159x5,SHR_CHS,159,5
CHS,CHS159x5.6,SHR_CHS,159,5.6
CHS,CHS159x6.3,SHR_CHS,159,6.3
CHS,CHS159x7.1,SHR_CHS,159,7.1
CHS,CHS159x8,SHR_CHS,159,8
CHS,CHS159x8.8,SHR_CHS,159,8.8
CHS,CHS159x10,SHR_CHS,159,10
CHS,CHS159x12.5,SHR_CHS,159,12.5
CHS,CHS159x14.2,SHR_CHS,159,14.2
CHS,CHS159x16,SHR_CHS,159,16
CHS,CHS159x17.5,SHR_CHS,159,17.5
CHS,CHS159x20,SHR_CHS,159,20
CHS,CHS159x22.2,SHR_CHS,159,22.2
CHS,CHS165.1x4.5,SHR_CHS,165.1,4.5
CHS,CHS168.3x4.5,SHR_CHS,168.3,4.5
