# Data structure:

# Category, Name, Profile class, geometric data...

# All measures must be in millimeters

# Possible profile classes are: 

# Generic_RCT=		Generic Rectangle Solid Section
# Generic_L=		Generic L Section
# Generic_T=		Generic T Section
# SteelCF_C=     	Steel Cold Formed C-profile
# SteelCF_C_WL=     Steel Cold Formed C-profile with lips
# SteelCF_L=     	Steel Cold Formed L-profile
# SteelCF_Z=     	Steel Cold Formed Z-profile
# SteelCF_Z_WL=     Steel Cold Formed Z-profile with lips
# SteelHR_CHS=      Steel Hot Rolled Circular Hollow Section
# SteelHR_L=        Steel Hot Rolled L-angle with parallel flanges
# SteelHR_I_PF=     Steel Hot Rolled I/H-section parallel flange
# SteelHR_I_SF=     Steel Hot Rolled I/H-section sloped flange
# SteelHR_RS=       Steel Hot Rolled Round Section
# SteelHR_RCT=      Steel Hot Rolled Rectangular 
# SteelHR_RHS=      Steel Hot Rolled Rectangle Hollow Section
# SteelHR_C_PF=     Steel Hot Rolled C-channel Parallel Flange
# SteelHR_C_SF=     Steel Hot Rolled C-channel Sloped Flange


# Additional profile types must be implemented in ArchProfile.py first

###########################################

# Concrete Rectangle Solid Section

# Category,Name,Generic_RCT,Width,Height
Steel CHS,CHS355.6x32,SteelHR_CHS,355.6,32
Steel CHS,CHS355.6x36,SteelHR_CHS,355.6,36
Steel CHS,CHS355.6x40,SteelHR_CHS,355.6,40
Steel CHS,CHS368x8.0,SteelHR_CHS,368,8
Steel CHS,CHS406.4x8.8,SteelHR_CHS,406.4,8.8
Steel CHS,CHS406.4x10,SteelHR_CHS,406.4,10
Steel CHS,CHS406.4x12.5,SteelHR_CHS,406.4,12.5
Steel CHS,CHS406.4x14.2,SteelHR_CHS,406.4,14.2
Steel CHS,CHS406.4x16,SteelHR_CHS,406.4,16
Steel CHS,CHS406.4x17.5,SteelHR_CHS,406.4,17.5
Steel CHS,CHS406.4x20,SteelHR_CHS,406.4,20
Steel CHS,CHS406.4x22.2,SteelHR_CHS,406.4,22.2
Steel CHS,CHS406.4x25,SteelHR_CHS,406.4,25
Steel CHS,CHS406.4x28,SteelHR_CHS,406.4,28
Steel CHS,CHS406.4x30,SteelHR_CHS,406.4,30
Steel CHS,CHS406.4x32,SteelHR_CHS,406.4,32
Steel CHS,CHS406.4x36,SteelHR_CHS,406.4,36
Steel CHS,CHS406.4x40,SteelHR_CHS,406.4,40
Steel CHS,CHS419x10.0,SteelHR_CHS,419,10
Steel CHS,CHS457x10,SteelHR_CHS,457,10
Steel CHS,CHS457x12.5,SteelHR_CHS,457,12.5
Steel CHS,CHS457x14.2,SteelHR_CHS,457,14.2
Steel CHS,CHS457x16,SteelHR_CHS,457,16
Steel CHS,CHS457x17.5,SteelHR_CHS,457,17.5
Steel CHS,CHS457x20,SteelHR_CHS,457,20
Steel CHS,CHS457x22.2,SteelHR_CHS,457,22.2
Steel CHS,CHS457x25,SteelHR_CHS,457,25
Steel CHS,CHS457x28,SteelHR_CHS,457,28
Steel CHS,CHS457x30,SteelHR_CHS,457,30
Steel CHS,CHS457x32,SteelHR_CHS,457,32
Steel CHS,CHS457x36,SteelHR_CHS,457,36
Steel CHS,CHS457x40,SteelHR_CHS,457,40
Steel CHS,CHS457.2x10.0,SteelHR_CHS,457.2,10
Steel CHS,CHS508x11.0,SteelHR_CHS,508,11
Steel CHS,CHS508x12.5,SteelHR_CHS,508,12.5
Steel CHS,CHS508x14.2,SteelHR_CHS,508,14.2
Steel CHS,CHS508x16,SteelHR_CHS,508,16
Steel CHS,CHS508x17.5,SteelHR_CHS,508,17.5
Steel CHS,CHS508x20,SteelHR_CHS,508,20
Steel CHS,CHS508x22.2,SteelHR_CHS,508,22.2
Steel CHS,CHS508x25,SteelHR_CHS,508,25
Steel CHS,CHS508x28,SteelHR_CHS,508,28
Steel CHS,CHS508x30,SteelHR_CHS,508,30
Steel CHS,CHS508x32,SteelHR_CHS,508,32
Steel CHS,CHS508x36,SteelHR_CHS,508,36
Steel CHS,CHS508x40,SteelHR_CHS,508,40
Steel CHS,CHS558.8x12.5,SteelHR_CHS,558.8,12.5
Steel CHS,CHS559x12.5,SteelHR_CHS,559,12.5
Steel CHS,CHS559x14.2,SteelHR_CHS,559,14.2
Steel CHS,CHS559x16,SteelHR_CHS,559,16
Steel CHS,CHS559x20,SteelHR_CHS,559,20
Steel CHS,CHS559x22.2,SteelHR_CHS,559,22.2
Steel CHS,CHS559x25,SteelHR_CHS,559,25
Steel CHS,CHS559x30,SteelHR_CHS,559,30
Steel CHS,CHS559x36,SteelHR_CHS,559,36
Steel CHS,CHS559x40,SteelHR_CHS,559,40
Steel CHS,CHS610x14.2,SteelHR_CHS,610,14.2
Steel CHS,CHS610x17.5,SteelHR_CHS,610,17.5
Steel CHS,CHS610x20,SteelHR_CHS,610,20
Steel CHS,CHS610x25,SteelHR_CHS,610,25
Steel CHS,CHS610x30,SteelHR_CHS,610,30
Steel CHS,CHS610x36,SteelHR_CHS,610,36
Steel CHS,CHS610x40,SteelHR_CHS,610,40

# H- or I-profile

# Category,Name,SteelHR_I_PF,width,height,web thickness,flange thickness,radius,

# HEA profiles

Steel HEA,HEA100,SteelHR_I_PF,100,96,5,8,12
Steel HEA,HEA120,SteelHR_I_PF,120,114,5,8,12
Steel HEA,HEA140,SteelHR_I_PF,140,133,5.5,8.5,12
Steel HEA,HEA160,SteelHR_I_PF,160,152,6,9,15
Steel HEA,HEA180,SteelHR_I_PF,180,171,6,9.5,15
Steel HEA,HEA200,SteelHR_I_PF,200,190,6.5,10,18
Steel HEA,HEA220,SteelHR_I_PF,220,210,7,11,18
Steel HEA,HEA240,SteelHR_I_PF,240,230,7.5,12,21
Steel HEA,HEA260,SteelHR_I_PF,260,250,7.5,12.5,24
Steel HEA,HEA280,SteelHR_I_PF,280,270,8,13,24
Steel HEA,HEA300,SteelHR_I_PF,300,290,8.5,14,27
Steel HEA,HEA320,SteelHR_I_PF,300,310,9,15.5,27
Steel HEA,HEA340,SteelHR_I_PF,300,330,9.5,16.5,27
Steel HEA,HEA360,SteelHR_I_PF,300,350,10,17.5,27
Steel HEA,HEA400,SteelHR_I_PF,300,390,11,19,27
Steel HEA,HEA450,SteelHR_I_PF,300,440,11.5,21,27
Steel HEA,HEA500,SteelHR_I_PF,300,490,12,23,27
Steel HEA,HEA550,SteelHR_I_PF,300,540,12.5,24,27
Steel HEA,HEA600,SteelHR_I_PF,300,590,13,25,27
Steel HEA,HEA650,SteelHR_I_PF,300,640,13.5,26,27
Steel HEA,HEA700,SteelHR_I_PF,300,690,14.5,27,27
Steel HEA,HEA800,SteelHR_I_PF,300,790,15,28,30
Steel HEA,HEA900,SteelHR_I_PF,300,890,16,30,30
Steel HEA,HEA1000,SteelHR_I_PF,300,990,16.5,31,30
Steel HEA,HEAA100,SteelHR_I_PF,100,91,4.2,5.5,12
Steel HEA,HEAA120,SteelHR_I_PF,120,109,4.2,5.5,12
Steel HEA,HEAA140,SteelHR_I_PF,140,128,4.3,6,12
Steel HEA,HEAA160,SteelHR_I_PF,160,148,4.5,7,15
Steel HEA,HEAA180,SteelHR_I_PF,180,167,5,7.5,15
Steel HEA,HEAA200,SteelHR_I_PF,200,186,5.5,8,18
Steel HEA,HEAA220,SteelHR_I_PF,220,205,6,8.5,18
Steel HEA,HEAA240,SteelHR_I_PF,240,224,6.5,9,21
Steel HEA,HEAA260,SteelHR_I_PF,260,244,6.5,9.5,24
Steel HEA,HEAA280,SteelHR_I_PF,280,264,7,10,24
Steel HEA,HEAA300,SteelHR_I_PF,300,283,7.5,10.5,27
Steel HEA,HEAA320,SteelHR_I_PF,300,301,8,11,27
Steel HEA,HEAA340,SteelHR_I_PF,300,320,8.5,11.5,27
Steel HEA,HEAA360,SteelHR_I_PF,300,339,9,12,27
Steel HEA,HEAA400,SteelHR_I_PF,300,378,9.5,13,27
Steel HEA,HEAA450,SteelHR_I_PF,300,425,10,13.5,27
Steel HEA,HEAA500,SteelHR_I_PF,300,472,10.5,14,27
Steel HEA,HEAA550,SteelHR_I_PF,300,522,11.5,15,27
Steel HEA,HEAA600,SteelHR_I_PF,300,571,12,15.5,27
Steel HEA,HEAA650,SteelHR_I_PF,300,620,12.5,16,27
Steel HEA,HEAA700,SteelHR_I_PF,300,670,13,17,27
Steel HEA,HEAA800,SteelHR_I_PF,300,770,14,18,30
Steel HEA,HEAA900,SteelHR_I_PF,300,870,15,20,30
Steel HEA,HEAA1000,SteelHR_I_PF,300,970,16,21,30

# HEB profiles

Steel HEB,HEB100,SteelHR_I_PF,100,100,6,10,12
Steel HEB,HEB120,SteelHR_I_PF,120,120,6.5,11,12
Steel HEB,HEB140,SteelHR_I_PF,140,140,7,12,12
Steel HEB,HEB160,SteelHR_I_PF,160,160,8,13,15
Steel HEB,HEB180,SteelHR_I_PF,180,180,8.5,14,15
Steel HEB,HEB200,SteelHR_I_PF,200,200,9,15,18
Steel HEB,HEB220,SteelHR_I_PF,220,220,9.5,16,18
Steel HEB,HEB240,SteelHR_I_PF,240,240,10,17,21
Steel HEB,HEB260,SteelHR_I_PF,260,260,10,17.5,24
Steel HEB,HEB280,SteelHR_I_PF,280,280,10.5,18,24
Steel HEB,HEB300,SteelHR_I_PF,300,300,11,19,27
Steel HEB,HEB320,SteelHR_I_PF,300,320,11.5,20.5,27
Steel HEB,HEB340,SteelHR_I_PF,300,340,12,21.5,27
Steel HEB,HEB360,SteelHR_I_PF,300,360,12.5,22.5,27
Steel HEB,HEB400,SteelHR_I_PF,300,400,13.5,24,27
Steel HEB,HEB450,SteelHR_I_PF,300,450,14,26,27
Steel HEB,HEB500,SteelHR_I_PF,300,500,14.5,28,27
Steel HEB,HEB550,SteelHR_I_PF,300,550,15,29,27
Steel HEB,HEB600,SteelHR_I_PF,300,600,15.5,30,27
Steel HEB,HEB650,SteelHR_I_PF,300,650,16,31,27
Steel HEB,HEB700,SteelHR_I_PF,300,700,17,32,27
Steel HEB,HEB800,SteelHR_I_PF,300,800,17.5,33,30
Steel HEB,HEB900,SteelHR_I_PF,300,900,18.5,35,30
Steel HEB,HEB1000,SteelHR_I_PF,300,1000,19,36,30

# HEM profiles

Steel HEM,HEM100,SteelHR_I_PF,120,106,12,20,12
Steel HEM,HEM120,SteelHR_I_PF,140,126,13,21,12
Steel HEM,HEM140,SteelHR_I_PF,160,146,13,22,12
Steel HEM,HEM160,SteelHR_I_PF,166,180,14,23,15
Steel HEM,HEM180,SteelHR_I_PF,186,200,14.5,24,15
Steel HEM,HEM200,SteelHR_I_PF,206,220,15,25,18
Steel HEM,HEM220,SteelHR_I_PF,226,240,15.5,26,18
Steel HEM,HEM240,SteelHR_I_PF,248,270,18,32,21
Steel HEM,HEM260,SteelHR_I_PF,268,290,18,32.5,24
Steel HEM,HEM280,SteelHR_I_PF,288,310,18.5,33,24
Steel HEM,HEM300,SteelHR_I_PF,310,340,21,39,27
Steel HEM,HEM320,SteelHR_I_PF,309,359,21,40,27
Steel HEM,HEM340,SteelHR_I_PF,309,377,21,40,27
Steel HEM,HEM360,SteelHR_I_PF,308,395,21,40,27
Steel HEM,HEM400,SteelHR_I_PF,307,432,21,40,27
Steel HEM,HEM450,SteelHR_I_PF,307,478,21,40,27
Steel HEM,HEM500,SteelHR_I_PF,306,524,21,40,27
Steel HEM,HEM550,SteelHR_I_PF,306,572,21,40,27
Steel HEM,HEM600,SteelHR_I_PF,305,620,21,40,27
Steel HEM,HEM650,SteelHR_I_PF,305,668,21,40,27
Steel HEM,HEM700,SteelHR_I_PF,304,716,21,40,27
Steel HEM,HEM800,SteelHR_I_PF,303,814,21,40,30
Steel HEM,HEM900,SteelHR_I_PF,302,910,21,40,30
Steel HEM,HEM1000,SteelHR_I_PF,302,1008,21,40,30

# Steel Universal Beam

Steel UB,UB127x76x13,SteelHR_I_PF,76,127,4,7.6,7.6
Steel UB,UB152x89x16,SteelHR_I_PF,88.7,152.4,4.5,7.7,7.6
Steel UB,UB178x102x19,SteelHR_I_PF,101.2,177.8,4.8,7.9,7.6
Steel UB,UB203x102x23,SteelHR_I_PF,101.8,203.2,5.4,9.3,7.6
Steel UB,UB203x133x25,SteelHR_I_PF,133.2,203.2,5.7,7.8,7.6
Steel UB,UB203x133x30,SteelHR_I_PF,133.9,206.8,6.4,9.6,7.6
Steel UB,UB254x102x22,SteelHR_I_PF,101.6,254,5.7,6.8,7.6
Steel UB,UB254x102x25,SteelHR_I_PF,101.9,257.2,6,8.4,7.6
Steel UB,UB254x102x28,SteelHR_I_PF,102.2,260.4,6.3,10,7.6
Steel UB,UB254x146x31,SteelHR_I_PF,146.1,251.4,6,8.6,7.6
Steel UB,UB254x146x37,SteelHR_I_PF,146.4,256,6.3,10.9,7.6
Steel UB,UB254x146x43,SteelHR_I_PF,147.3,259.6,7.2,12.7,7.6
Steel UB,UB305x102x25,SteelHR_I_PF,101.6,305.1,5.8,7,7.6
Steel UB,UB305x102x28,SteelHR_I_PF,101.8,308.7,6,8.8,7.6
Steel UB,UB305x102x33,SteelHR_I_PF,102.4,312.7,6.6,10.8,7.6
Steel UB,UB305x127x37,SteelHR_I_PF,123.4,304.4,7.1,10.7,8.9
Steel UB,UB305x127x42,SteelHR_I_PF,124.3,307.2,8,12.1,8.9
Steel UB,UB305x127x48,SteelHR_I_PF,125.3,311,9,14,8.9
Steel UB,UB305x165x40,SteelHR_I_PF,165,303.4,6,10.2,8.9
Steel UB,UB305x165x46,SteelHR_I_PF,165.7,306.6,6.7,11.8,8.9
Steel UB,UB305x165x54,SteelHR_I_PF,166.9,310.4,7.9,13.7,8.9
Steel UB,UB356x127x33,SteelHR_I_PF,125.4,349,6,8.5,10.2
Steel UB,UB356x127x39,SteelHR_I_PF,126,353.4,6.6,10.7,10.2
Steel UB,UB356x171x45,SteelHR_I_PF,171.1,351.4,7,9.7,10.2
Steel UB,UB356x171x51,SteelHR_I_PF,171.5,355,7.4,11.5,10.2
Steel UB,UB356x171x57,SteelHR_I_PF,172.2,358,8.1,13,10.2
Steel UB,UB356x171x67,SteelHR_I_PF,173.2,363.4,9.1,15.7,10.2
Steel UB,UB406x140x39,SteelHR_I_PF,141.8,398,6.4,8.6,10.2
Steel UB,UB406x140x46,SteelHR_I_PF,142.2,403.2,6.8,11.2,10.2
Steel UB,UB406x178x54,SteelHR_I_PF,177.7,402.6,7.7,10.9,10.2
Steel UB,UB406x178x60,SteelHR_I_PF,177.9,406.4,7.9,12.8,10.2
Steel UB,UB406x178x67,SteelHR_I_PF,178.8,409.4,8.8,14.3,10.2
Steel UB,UB406x178x74,SteelHR_I_PF,179.5,412.8,9.5,16,10.2
Steel UB,UB457x152x52,SteelHR_I_PF,152.4,449.8,7.6,10.9,10.2
Steel UB,UB457x152x60,SteelHR_I_PF,152.9,454.6,8.1,13.3,10.2
Steel UB,UB457x152x67,SteelHR_I_PF,153.8,458,9,15,10.2
Steel UB,UB457x152x74,SteelHR_I_PF,154.4,462,9.6,17,10.2
Steel UB,UB457x152x82,SteelHR_I_PF,155.3,465.8,10.5,18.9,10.2
Steel UB,UB457x191x67,SteelHR_I_PF,189.9,453.4,8.5,12.7,10.2
Steel UB,UB457x191x74,SteelHR_I_PF,190.4,457,9,14.5,10.2
Steel UB,UB457x191x82,SteelHR_I_PF,191.3,460,9.9,16,10.2
Steel UB,UB457x191x89,SteelHR_I_PF,191.9,463.4,10.5,17.7,10.2
Steel UB,UB457x191x98,SteelHR_I_PF,192.8,467.2,11.4,19.6,10.2
Steel UB,UB533x210x82,SteelHR_I_PF,208.8,528.3,9.6,13.2,12.7
Steel UB,UB533x210x92,SteelHR_I_PF,209.3,533.1,10.1,15.6,12.7
Steel UB,UB533x210x101,SteelHR_I_PF,210,536.7,10.8,17.4,12.7
Steel UB,UB533x210x109,SteelHR_I_PF,210.8,539.5,11.6,18.8,12.7
Steel UB,UB533x210x122,SteelHR_I_PF,211.9,544.5,12.7,21.3,12.7
Steel UB,UB610x229x101,SteelHR_I_PF,227.6,602.6,10.5,14.8,12.7
Steel UB,UB610x229x113,SteelHR_I_PF,228.2,607.6,11.1,17.3,12.7
Steel UB,UB610x229x125,SteelHR_I_PF,229,612.2,11.9,19.6,12.7
Steel UB,UB610x229x140,SteelHR_I_PF,230.2,617.2,13.1,22.1,12.7
Steel UB,UB610x305x149,SteelHR_I_PF,304.8,612.4,11.8,19.7,16.5
Steel UB,UB610x305x179,SteelHR_I_PF,307.1,620.2,14.1,23.6,16.5
Steel UB,UB610x305x238,SteelHR_I_PF,311.4,635.8,18.4,31.4,16.5
Steel UB,UB686x254x125,SteelHR_I_PF,253,677.9,11.7,16.2,15.2
Steel UB,UB686x254x140,SteelHR_I_PF,253.7,683.5,12.4,19,15.2
Steel UB,UB686x254x152,SteelHR_I_PF,254.5,687.5,13.2,21,15.2
Steel UB,UB686x254x170,SteelHR_I_PF,255.8,692.9,14.5,23.7,15.2
Steel UB,UB762x267x134,SteelHR_I_PF,264.4,750,12,15.5,16.5
Steel UB,UB762x267x147,SteelHR_I_PF,265.2,754,12.8,17.5,16.5
Steel UB,UB762x267x173,SteelHR_I_PF,266.7,762.2,14.3,21.6,16.5
Steel UB,UB762x267x197,SteelHR_I_PF,268,769.8,15.6,25.4,16.5
Steel UB,UB838x292x176,SteelHR_I_PF,291.7,834.9,14,18.8,17.8
Steel UB,UB838x292x194,SteelHR_I_PF,292.4,840.7,14.7,21.7,17.8
Steel UB,UB838x292x226,SteelHR_I_PF,293.8,850.9,16.1,26.8,17.8
Steel UB,UB914x305x201,SteelHR_I_PF,303.3,903,15.1,20.2,19.1
Steel UB,UB914x305x224,SteelHR_I_PF,304.1,910.4,15.9,23.9,19.1
Steel UB,UB914x305x253,SteelHR_I_PF,305.5,918.4,17.3,27.9,19.1
Steel UB,UB914x305x289,SteelHR_I_PF,307.7,926.6,19.5,32,19.1
Steel UB,UB914x419x343,SteelHR_I_PF,418.5,911.8,19.4,32,24.1
Steel UB,UB914x419x388,SteelHR_I_PF,420.5,921,21.4,36.6,24.1

# Steel Universal Column

Steel UC,UC152x152x23,SteelHR_I_PF,152.2,152.4,5.8,6.8,7.6
Steel UC,UC152x152x30,SteelHR_I_PF,152.9,157.6,6.5,9.4,7.6
Steel UC,UC152x152x37,SteelHR_I_PF,154.4,161.8,8,11.5,7.6
Steel UC,UC203x203x46,SteelHR_I_PF,203.6,203.2,7.2,11,10.2
Steel UC,UC203x203x52,SteelHR_I_PF,204.3,206.2,7.9,12.5,10.2
Steel UC,UC203x203x60,SteelHR_I_PF,205.8,209.6,9.4,14.2,10.2
Steel UC,UC203x203x71,SteelHR_I_PF,206.4,215.8,10,17.3,10.2
Steel UC,UC203x203x86,SteelHR_I_PF,209.1,222.2,12.7,20.5,10.2
Steel UC,UC254x254x73,SteelHR_I_PF,254.6,254.1,8.6,14.2,12.7
Steel UC,UC254x254x89,SteelHR_I_PF,256.3,260.3,10.3,17.3,12.7
Steel UC,UC254x254x107,SteelHR_I_PF,258.8,266.7,12.8,20.5,12.7
Steel UC,UC254x254x132,SteelHR_I_PF,261.3,276.3,15.3,25.3,12.7
Steel UC,UC254x254x167,SteelHR_I_PF,265.2,289.1,19.2,31.7,12.7
Steel UC,UC305x305x97,SteelHR_I_PF,305.3,307.9,9.9,15.4,15.2
Steel UC,UC305x305x118,SteelHR_I_PF,307.4,314.5,12,18.7,15.2
Steel UC,UC305x305x137,SteelHR_I_PF,309.2,320.5,13.8,21.7,15.2
Steel UC,UC305x305x158,SteelHR_I_PF,311.2,327.1,15.8,25,15.2
Steel UC,UC305x305x198,SteelHR_I_PF,314.5,339.9,19.1,31.4,15.2
Steel UC,UC305x305x240,SteelHR_I_PF,318.4,352.5,23,37.7,15.2
Steel UC,UC305x305x283,SteelHR_I_PF,322.2,365.3,26.8,44.1,15.2
Steel UC,UC356x368x129,SteelHR_I_PF,368.6,355.6,10.4,17.5,15.2
Steel UC,UC356x368x153,SteelHR_I_PF,370.5,362,12.3,20.7,15.2
Steel UC,UC356x368x177,SteelHR_I_PF,372.6,368.2,14.4,23.8,15.2
Steel UC,UC356x368x202,SteelHR_I_PF,374.7,374.6,16.5,27,15.2
Steel UC,UC356x406x235,SteelHR_I_PF,394.8,381,18.4,30.2,15.2
Steel UC,UC356x406x287,SteelHR_I_PF,399,393.6,22.6,36.5,15.2
Steel UC,UC356x406x340,SteelHR_I_PF,403,406.4,26.6,42.9,15.2
Steel UC,UC356x406x393,SteelHR_I_PF,407,419,30.6,49.2,15.2
Steel UC,UC356x406x467,SteelHR_I_PF,412.2,436.6,35.8,58,15.2
Steel UC,UC356x406x551,SteelHR_I_PF,418.5,455.6,42.1,67.5,15.2
Steel UC,UC356x406x634,SteelHR_I_PF,424,474.6,47.6,77,15.2

# IPE profiles

Steel IPE,IPE80,SteelHR_I_PF,46,80,3.8,5.2,5
Steel IPE,IPE100,SteelHR_I_PF,55,100,4.1,5.7,7
Steel IPE,IPE120,SteelHR_I_PF,64,120,4.4,6.3,7
Steel IPE,IPE140,SteelHR_I_PF,73,140,4.7,6.9,7
Steel IPE,IPE160,SteelHR_I_PF,82,160,5,7.4,9
Steel IPE,IPE180,SteelHR_I_PF,91,180,5.3,8,9
Steel IPE,IPE200,SteelHR_I_PF,100,200,5.6,8.5,12
Steel IPE,IPE220,SteelHR_I_PF,110,220,5.9,9.2,12
Steel IPE,IPE240,SteelHR_I_PF,120,240,6.2,9.8,15
Steel IPE,IPE270,SteelHR_I_PF,135,270,6.6,10.2,15
Steel IPE,IPE300,SteelHR_I_PF,150,300,7.1,10.7,15
Steel IPE,IPE330,SteelHR_I_PF,160,330,7.5,11.5,181
Steel IPE,IPE360,SteelHR_I_PF,170,360,8,12.7,18
Steel IPE,IPE400,SteelHR_I_PF,180,400,8.6,13.5,21
Steel IPE,IPE450,SteelHR_I_PF,190,450,9.4,14.6,21
Steel IPE,IPE500,SteelHR_I_PF,200,500,10.2,16,21
Steel IPE,IPE550,SteelHR_I_PF,210,550,11.1,17.2,24
Steel IPE,IPE600,SteelHR_I_PF,220,600,12,19,24
Steel IPE,IPEA100,SteelHR_I_PF,55,98,3.6,4.7
Steel IPE,IPEA120,SteelHR_I_PF,64,118,3.8,5.1
Steel IPE,IPEA140,SteelHR_I_PF,73,138,3.8,5.6
Steel IPE,IPEA160,SteelHR_I_PF,82,157,4,5.9
Steel IPE,IPEA180,SteelHR_I_PF,91,177,4.3,6.5
Steel IPE,IPEA200,SteelHR_I_PF,100,197,4.5,7
Steel IPE,IPEA220,SteelHR_I_PF,110,217,5,7.7
Steel IPE,IPEA240,SteelHR_I_PF,120,237,5.2,8.3
Steel IPE,IPEA270,SteelHR_I_PF,135,267,5.5,8.7
Steel IPE,IPEA300,SteelHR_I_PF,150,297,6.1,9.2
Steel IPE,IPEA330,SteelHR_I_PF,160,327,6.5,10
Steel IPE,IPEA360,SteelHR_I_PF,170,357.6,6.6,11.5
Steel IPE,IPEA400,SteelHR_I_PF,180,397,7,12
Steel IPE,IPEA450,SteelHR_I_PF,190,447,7.6,13.1
Steel IPE,IPEA500,SteelHR_I_PF,200,497,8.4,14.5
Steel IPE,IPEA550,SteelHR_I_PF,210,547,9,15.7
Steel IPE,IPEA600,SteelHR_I_PF,220,597,9.8,17.5
Steel IPE,IPEO180,SteelHR_I_PF,89,182,6.4,9.5
Steel IPE,IPEO200,SteelHR_I_PF,102,202,6.2,9.5
Steel IPE,IPEO220,SteelHR_I_PF,112,222,6.6,10.2
Steel IPE,IPEO240,SteelHR_I_PF,122,242,7,10.8
Steel IPE,IPEO270,SteelHR_I_PF,136,274,7.5,12.2
Steel IPE,IPEO300,SteelHR_I_PF,152,304,8,12.7
Steel IPE,IPEO330,SteelHR_I_PF,162,334,8.5,13.5
Steel IPE,IPEO360,SteelHR_I_PF,172,364,9.2,14.7
Steel IPE,IPEO400,SteelHR_I_PF,182,404,9.7,15.5
Steel IPE,IPEO450,SteelHR_I_PF,192,456,11,17.6
Steel IPE,IPEO500,SteelHR_I_PF,202,506,12,19
Steel IPE,IPEO550,SteelHR_I_PF,212,556,12.7,20.2
Steel IPE,IPEO600,SteelHR_I_PF,224,610,15,24
Steel IPE,IPER140,SteelHR_I_PF,72,142,5.3,7.8
Steel IPE,IPER160,SteelHR_I_PF,81,162,5.6,8.5
Steel IPE,IPER180,SteelHR_I_PF,92,183,6,9
Steel IPE,IPER200,SteelHR_I_PF,98,204,6.6,10.5
Steel IPE,IPER220,SteelHR_I_PF,108,225,6.7,11.8
Steel IPE,IPER240,SteelHR_I_PF,118,245,7.5,12.3
Steel IPE,IPER270,SteelHR_I_PF,133,276,7.1,13.1
Steel IPE,IPER300,SteelHR_I_PF,147,306,8.5,13.7
Steel IPE,IPER330,SteelHR_I_PF,158,336,9.2,14.5
Steel IPE,IPER360,SteelHR_I_PF,168,366,9.9,16
Steel IPE,IPER400,SteelHR_I_PF,178,407,10.6,17
Steel IPE,IPER450,SteelHR_I_PF,188,458,11.3,18.6
Steel IPE,IPER500,SteelHR_I_PF,198,508,12.6,20
Steel IPE,IPER550,SteelHR_I_PF,210,560,14,22.2
Steel IPE,IPER600,SteelHR_I_PF,218,608,14,23
Steel IPE,IPEV400,SteelHR_I_PF,182,408,10.6,17.5
Steel IPE,IPEV450,SteelHR_I_PF,194,460,12.4,19.6
Steel IPE,IPEV500,SteelHR_I_PF,204,514,14.2,23
Steel IPE,IPEV550,SteelHR_I_PF,216,566,17.1,25.2
Steel IPE,IPEV600,SteelHR_I_PF,228,618,18,28
Steel IPE,IPE750x137,SteelHR_I_PF,263,753,11.5,17
Steel IPE,IPE750x147,SteelHR_I_PF,265,753,13.2,17
Steel IPE,IPE750x161,SteelHR_I_PF,266,758,13.8,19.3
Steel IPE,IPE750x173,SteelHR_I_PF,267,762,14.4,21.6
Steel IPE,IPE750x185,SteelHR_I_PF,267,766,14.9,23.6
Steel IPE,IPE750x196,SteelHR_I_PF,268,770,15.6,25.4
Steel IPE,IPE750x210,SteelHR_I_PF,268,775,16,28
Steel IPE,IPE750x222,SteelHR_I_PF,269,778,17,29.5

# SteelHR_I_SF

# Category,Name,SteelHR_I_SF,width,height,web thickness,flange thickness,web fillet,flange fillet,location of flange thickness,angle

# INP profiles

Steel INP,INP80,SteelHR_I_SF,42,80,3.9,5.9,3.9,2.3,10.5,7.97
Steel INP,INP100,SteelHR_I_SF,50,100,4.5,6.8,4.5,2.7,12.5,7.97
Steel INP,INP120,SteelHR_I_SF,58,120,5.1,7.7,5.1,3.1,14.5,7.97
Steel INP,INP140,SteelHR_I_SF,66,140,5.7,8.6,5.7,3.4,16.5,7.97
Steel INP,INP160,SteelHR_I_SF,74,160,6.3,9.5,6.3,3.8,18.5,7.97
Steel INP,INP180,SteelHR_I_SF,82,180,6.9,10.4,6.9,4.1,20.5,7.97
Steel INP,INP200,SteelHR_I_SF,90,200,7.5,11.3,7.5,4.5,22.5,7.97
Steel INP,INP220,SteelHR_I_SF,98,220,8.1,12.2,8.1,4.9,24.5,7.97
Steel INP,INP240,SteelHR_I_SF,106,240,8.7,13.1,8.7,5.2,26.5,7.97
Steel INP,INP260,SteelHR_I_SF,113,260,9.4,14.1,9.4,5.6,28.25,7.97
Steel INP,INP280,SteelHR_I_SF,119,280,10.1,15.2,10.1,6.1,29.75,7.97
Steel INP,INP300,SteelHR_I_SF,125,300,10.8,16.2,10.8,6.5,31.25,7.97
Steel INP,INP320,SteelHR_I_SF,131,320,11.5,17.3,11.5,6.9,32.75,7.97
Steel INP,INP340,SteelHR_I_SF,137,340,12.2,18.3,12.2,7.3,34.25,7.97
Steel INP,INP360,SteelHR_I_SF,143,360,13,19.5,13,7.8,35.75,7.97
Steel INP,INP380,SteelHR_I_SF,149,380,13.7,20.5,13.7,8.2,37.25,7.97
